         2870646 function calls (2775656 primitive calls) in 41.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      440    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      480    0.000    0.000    0.000    0.000 fromnumeric.py:2838(_prod_dispatcher)
      220    0.000    0.000    0.001    0.000 __init__.py:579(formatMessage)
      220    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      109    0.000    0.000    0.000    0.000 overlap.py:172(mse)
      209    0.000    0.000    0.000    0.000 threading.py:249(_release_save)
      220    0.000    0.000    0.000    0.000 process.py:36(current_process)
      440    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      209    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
      720    0.000    0.000    0.000    0.000 function_base.py:2089(<listcomp>)
      480    0.000    0.000    0.000    0.000 multiarray.py:707(dot)
      220    0.000    0.000    0.000    0.000 process.py:180(name)
      240    0.000    0.000    0.000    0.000 multiarray.py:990(unravel_index)
      220    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      472    0.000    0.000    0.000    0.000 fromnumeric.py:93(_take_dispatcher)
      240    0.000    0.000    0.000    0.000 multiarray.py:312(where)
      236    0.000    0.000    0.000    0.000 function_base.py:1137(_diff_dispatcher)
      472    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      220    0.000    0.000    0.000    0.000 {built-in method _imp.lock_held}
      472    0.000    0.000    0.000    0.000 numeric.py:398(_count_nonzero_dispatcher)
      532    0.000    0.000    0.000    0.000 fromnumeric.py:3126(_around_dispatcher)
      480    0.000    0.000    0.000    0.000 shape_base.py:21(_atleast_1d_dispatcher)
      236    0.000    0.000    0.000    0.000 function_base.py:3709(_quantile_dispatcher)
      220    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      220    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      240    0.000    0.000    0.000    0.000 numeric.py:86(_zeros_like_dispatcher)
      240    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
      240    0.000    0.000    0.000    0.000 linalg.py:478(_unary_dispatcher)
