         2999959 function calls (2905722 primitive calls) in 44.969 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      336    0.000    0.000    0.000    0.000 fromnumeric.py:1899(_shape_dispatcher)
      488    0.000    0.000    0.000    0.000 linalg.py:2312(_norm_dispatcher)
      360    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      219    0.000    0.000    0.001    0.000 cp1252.py:18(encode)
     1556    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
      488    0.000    0.000    0.000    0.000 multiarray.py:707(dot)
      488    0.000    0.000    0.000    0.000 fromnumeric.py:2838(_prod_dispatcher)
      360    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      732    0.000    0.000    0.000    0.000 function_base.py:2089(<listcomp>)
      482    0.000    0.000    0.000    0.000 fromnumeric.py:93(_take_dispatcher)
      552    0.000    0.000    0.000    0.000 fromnumeric.py:3126(_around_dispatcher)
      244    0.000    0.000    0.000    0.000 multiarray.py:990(unravel_index)
      244    0.000    0.000    0.000    0.000 multiarray.py:312(where)
      241    0.000    0.000    0.000    0.000 function_base.py:1137(_diff_dispatcher)
      482    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      488    0.000    0.000    0.000    0.000 shape_base.py:21(_atleast_1d_dispatcher)
      482    0.000    0.000    0.000    0.000 numeric.py:398(_count_nonzero_dispatcher)
      244    0.000    0.000    0.000    0.000 index_tricks.py:644(__iter__)
      244    0.000    0.000    0.000    0.000 type_check.py:81(_asfarray_dispatcher)
      244    0.000    0.000    0.000    0.000 numeric.py:86(_zeros_like_dispatcher)
      244    0.000    0.000    0.000    0.000 linalg.py:478(_unary_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      244    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
      244    0.000    0.000    0.000    0.000 function_base.py:4071(_meshgrid_dispatcher)
      241    0.000    0.000    0.000    0.000 function_base.py:3709(_quantile_dispatcher)
      244    0.000    0.000    0.000    0.000 fromnumeric.py:1189(_argmin_dispatcher)
        1    0.000    0.000    0.003    0.003 linecache.py:82(updatecache)
      339    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      244    0.000    0.000    0.000    0.000 multiarray.py:77(empty_like)
